"Category","Word1","Word2","Word3","Word4","Word5","Word6"
"Space","Moon","Planets","Astronaut","Galaxy","Telescope","Rocket"
"Moon","Crater","Apollo 11","Full Moon","Gravity","Lunar"
"Planets","Mars","Saturn","Jupiter","Venus","Mercury","Neptune"
"Astronaut","Helmet","Spacesuit","NASA","Zero G","Air Tank","Training"
"Galaxy","Stars","Milky Way","Andromeda","Nebula","Dust","Clusters"
"Telescope","Lens","Focus","Tripod","Hubble"
"Rocket","Engine","Launch Pad","Booster","Ignition","Stage"
"Crater","Impact","Deep Hole","Dust","Surface","Ancient","Rocky"
"Apollo 11","Moon Walk","Armstrong","Flag","Eagle","Lander","1969"
"Full Moon","Night Sky","Tides","Wolves","Phase","Cycle"
"Gravity","Force","Weight","Pull","Physics","Mass","Falling"
"Orbit","Path","Satellite","Circle","Station","Loop"
"Lunar","Eclipse","Module","Regolith","Tidal","Robotic","Mission"
"Mars","Red Planet","Rover","Canals","Volcano","Dust Storm","Elon"
"Saturn","Rings","Titan","Gas Giant","Hexagon","Windy"
"Jupiter","Great Red","Moons","Europa","Pressure","Largest","Storm"
"Venus","Acid Rain","Clouds","Sister","Venus Fly","Volcanic"
"Mercury","Closest","Smallest","Hot Days","Cold Night","Iron Core","Crust"
"Neptune","Deep Blue","Triton","Freezing","Voyager","Winds","Outermost"
"Helmet","Visor","Oxygen","Seal","Comm Link","Safety"
"Spacesuit","White","Layers","Gloves","Boots","Patch","Tether"
"NASA","Houston","Florida","Science","Research","Logo","Space X"
"Zero G","Floating","Weightless","Drift","No Floor","Spinning","Fun"
"Air Tank","Breathing","Pressure","Valve","Life","Supply"
"Training","Gym","Centrifuge","Simulate","Underwater","Study","Test"
"Stars","Burning","Light","Sun","Twinkle","Constel","Nova"
"Milky Way","Spiral","Old Stars","Center","Black Hole","Home"
"Andromeda","Neighbor","Collision","Distant","Billion","Light Year"
"Nebula","Orion","Gas Cloud","Colors","Nursery","Hubble","Pillars"
"Dust","Particles","Space","Dirty","Speck","Cloud","Vacuum"
"Clusters","Groups","Dense","Gravity","Globular","Open","Massive"
"Lens","Optics","Curve","Focus","Vision"
"Mirror","Reflect","Silver","Looking","Symmetry"
"Focus","Blurry","Adjust","Eye","Dial","Target"
"View","Horizon","Lookout","Sight","Landscape","Window","Scene"
"Tripod","Three Legs","Stand","Support","Camera","Steady","Mount"
"Hubble","Orbit","Deep Space","Repair","Camera","Shuttle","Discovery"
"Engine","Power","Nozzle","Combustion","Thrust","Heat"
